Edmund Kemper (Age Group),Edmund Kemper (Sex),Keith Hunter Jesperson (Age Group),Keith Hunter Jesperson (Sex),Robert Charles Gleason Jr. (Age Group),Robert Charles Gleason Jr. (Sex),Reta Mays (Age Group),Reta Mays (Sex)
Senior Adult,Male,Adult,Female,Middle Age Adult,Male,Senior Adult,Male
Senior Adult,Female,Unknown,Female,Senior Adult,Male,Senior Adult,Male
Adult,Female,Adult,Female,Adult,Male,Senior Adult,Male
Adult,Female,Adult,Female,,,Senior Adult,Male
Minor,Female,Unknown,Female,,,Senior Adult,Male
Adult,Female,Middle Age Adult,Female,,,Senior Adult,Male
Adult,Female,Adult,Female,,,Senior Adult,Male
Adult,Female,Middle Age Adult,Female,,,,
Middle Age Adult,Female,,,,,,
Middle Age Adult,Female,,,,,,